User ID,Name,Email,Recommended Places
1,Jennifer Quinn,jennifer.quinn@example.com,"['galle', 'jaffna public library', 'dambulla', 'ahangama', 'sigiriya']"
2,Emily Perry,emily.perry@example.com,"['kanniya hot water springs', 'yala national park', 'maha oya hot water springs', 'wilpattu national park', 'madunagala hot water spring']"
3,Danielle Mcbride,danielle.mcbride@example.com,"['trincomalee harbour', 'sea turtle hatchery habaraduwa', 'kandy city centre', 'galle', 'dambulla']"
4,Angelica Wilson,angelica.wilson@example.com,"['kanniya hot water springs', 'maha oya hot water springs', 'madunagala hot water spring', 'madunagala hot water spring', 'dambulla']"
5,Laurie Powers,laurie.powers@example.com,"['galle dutch fort', 'polonnaruwa ancient city', 'trincomalee harbour', 'yapahuwa rock fortress', 'national museum galle']"
6,Michelle Anderson,michelle.anderson@example.com,"['kandy', 'dambulla royal cave temple and golden temple', 'dambulla royal cave temple and golden temple', 'galle dutch fort', 'sri dalada maligawa']"
7,Louis Ramsey,louis.ramsey@example.com,"['royal colombo golf club', 'nuwara eliya golf club', 'udawalawe national park', 'anuradhapura', 'ambalangoda']"
8,Dominique Hammond,dominique.hammond@example.com,"['kandalama', 'sri dalada maligawa', 'dambulla royal cave temple and golden temple', 'dambulla', 'sri pada adams peak']"
9,Tara Reilly,tara.reilly@example.com,"['seethawaka wet zone botanical gardens', 'mihintale', 'galle dutch fort', 'polonnaruwa ancient city', 'dambulla royal cave temple and golden temple']"
10,Stacy Anderson MD,stacy.md@example.com,"['madu ganga', 'bentota ganga', 'seethawaka wet zone botanical gardens', 'kalpitiya lagoon', 'mirissa beach']"
11,Amanda Sanders,amanda.sanders@example.com,"['royal colombo golf club', 'nuwara eliya golf club', 'kandy national museum', 'national museum galle', 'dhanaja gem museum']"
12,Dr. Kenneth Castro MD,dr..md@example.com,"['yala national park', 'kanneliya national rain forest reserve', 'minneriya national park', 'udawalawe national park', 'wasgamuwa national park']"
13,Michael Hansen,michael.hansen@example.com,"['dutch museum', 'kandy national museum', 'maritime museum', 'colombo national museum', 'sea turtle hatchery habaraduwa']"
14,Laura Friedman,laura.friedman@example.com,"['galle dutch fort', 'madu ganga', 'bentota ganga', 'galle', 'seethawaka wet zone botanical gardens']"
15,Jerry Caldwell,jerry.caldwell@example.com,"['negombo', 'trincomalee', 'kanneliya national rain forest reserve', 'kalpitiya', 'sinharaja forest reserve']"
16,Steve Avila,steve.avila@example.com,"['pinnawala', 'kandalama', 'dambulla', 'minneriya national park', 'galle']"
17,Bobby Jones,bobby.jones@example.com,"['rekawa beach', 'bundala national park', 'anawilundawa wetland', 'sinharaja forest reserve', 'sea turtle hatchery habaraduwa']"
18,Robert Luna,robert.luna@example.com,"['yala national park', 'wasgamuwa national park', 'udawalawe national park', 'kanneliya national rain forest reserve', 'wilpattu national park']"
19,Scott Johnson,scott.johnson@example.com,"['nuwara eliya', 'sri lanka planetarium', 'galle', 'ambalangoda', 'horton plains national park']"
20,Elizabeth Peterson,elizabeth.peterson@example.com,"['yala national park', 'udawalawe national park', 'wilpattu national park', 'minneriya national park', 'wasgamuwa national park']"
21,Valerie Park,valerie.park@example.com,"['dutch museum', 'polonnaruwa ancient city', 'kandy national museum', 'dhanaja gem museum', 'national museum galle']"
22,Ryan Wilson,ryan.wilson@example.com,"['pinnawala', 'galle', 'minneriya national park', 'leisure world', 'dambulla']"
23,Carlos Delgado DVM,carlos.dvm@example.com,"['colombo city tour', 'kandy city centre', 'galle', 'port city colombo', 'peradeniya']"
24,Beverly Allen,beverly.allen@example.com,"['dambulla royal cave temple and golden temple', 'dambulla royal cave temple and golden temple', 'sri dalada maligawa', 'gangaramaya temple', 'galle']"
25,Tyler Thomas,tyler.thomas@example.com,"['sigiriya', 'bundala national park', 'mirissa beach', 'galle dutch fort', 'horton plains national park']"
26,Kevin Lowery,kevin.lowery@example.com,"['seethawaka wet zone botanical gardens', 'hakgala botanical garden', 'mirissa beach', 'galle', 'dry zone botanic gardens, hambantota']"
27,David Tapia,david.tapia@example.com,"['kitulgala', 'port city colombo', 'kalpitiya lagoon', 'ambalangoda', 'arugam bay beach']"
28,Nathan Alvarado,nathan.alvarado@example.com,"['mirissa beach', 'arugam bay beach', 'yapahuwa rock fortress', 'nilaveli beach', 'uppuveli beach']"
29,Hailey Bishop,hailey.bishop@example.com,"['pigeon island', 'hikkaduwa beach', 'sri dalada maligawa', 'dambulla royal cave temple and golden temple', 'dambulla royal cave temple and golden temple']"
30,Kristin Lee,kristin.lee@example.com,"['dambulla royal cave temple and golden temple', 'mihintale', 'dambulla royal cave temple and golden temple', 'sri dalada maligawa', 'gangaramaya temple']"
31,Willie Hogan,willie.hogan@example.com,"['polonnaruwa ancient city', 'ambalangoda', 'kandy city centre', 'anuradhapura', 'dambulla']"
32,Paul Shepard,paul.shepard@example.com,"['anuradhapura', 'dambulla', 'kandalama', 'pinnawala', 'ambalangoda']"
